sku,nombre,categoria,subcategoria,perecedero,vida_util_dias,precio_lista_mxn,costo_mxn,proveedor_id,estatus,fecha_alta,fecha_baja,sku_sustituto
SKU-1091,Leche saborizada chocolate 250 ml,Bebidas,Jugos,False,120,14.0,11.24,PRV-11,Activo,2024-01-15,,
SKU-1092,Café frío 280 ml,Bebidas,Café,False,180,36.0,27.43,PRV-12,Activo,2024-01-15,,
SKU-1093,Agua de coco 330 ml,Bebidas,Jugos,False,270,28.0,21.99,PRV-12,Activo,2024-01-15,,
SKU-1094,Bebida de avena 1 L,Bebidas,Bebidas vegetales,False,180,42.0,34.34,PRV-12,Activo,2024-01-15,,
SKU-1095,Detergente en polvo 1 kg,Limpieza,Lavandería,False,720,42.0,29.57,PRV-13,Activo,2024-01-15,,
SKU-1096,Detergente líquido 3 L,Limpieza,Lavandería,False,720,129.0,96.98,PRV-13,Activo,2024-01-15,,
SKU-1097,Suavizante de telas 1 L,Limpieza,Lavandería,False,720,48.0,34.64,PRV-13,Activo,2024-01-15,,
SKU-1098,Cloro 1 L,Limpieza,Desinfectantes,False,365,22.0,17.42,PRV-13,Activo,2024-01-15,,
SKU-1099,Limpiador multiusos 1 L,Limpieza,Desinfectantes,False,720,36.0,27.05,PRV-13,Activo,2024-01-15,,
SKU-1100,Lavatrastes líquido 750 ml,Limpieza,Cocina,False,720,34.0,25.53,PRV-13,Activo,2024-01-15,,
SKU-1101,Fibra para trastes 3 piezas,Limpieza,Cocina,False,1080,19.0,13.42,PRV-13,Activo,2024-01-15,,
SKU-1102,Papel higiénico 12 rollos,Limpieza,Papel,False,1080,98.0,72.8,PRV-13,Activo,2024-01-15,,
SKU-1103,Servilletas 500 piezas,Limpieza,Papel,False,1080,42.0,31.61,PRV-13,Activo,2024-01-15,,
SKU-1104,Toallas de papel 2 rollos,Limpieza,Papel,False,1080,46.0,35.57,PRV-13,Activo,2024-01-15,,
SKU-1105,Bolsas para basura grande 10 piezas,Limpieza,Hogar,False,1080,32.0,24.54,PRV-13,Activo,2024-01-15,,
SKU-1106,Insecticida aerosol 400 ml,Limpieza,Hogar,False,720,68.0,50.86,PRV-13,Activo,2024-01-15,,
SKU-1107,Jabón en barra para ropa 400 g,Limpieza,Lavandería,False,720,18.0,13.61,PRV-13,Activo,2024-01-15,,
SKU-1108,Aromatizante en aerosol 300 ml,Limpieza,Hogar,False,720,45.0,35.9,PRV-13,Activo,2024-01-15,,
SKU-1109,Shampoo 750 ml,Cuidado personal,Cabello,False,720,78.0,54.39,PRV-14,Activo,2024-01-15,,
SKU-1110,Acondicionador 750 ml,Cuidado personal,Cabello,False,720,78.0,59.75,PRV-15,Activo,2024-01-15,,
SKU-1111,Jabón de tocador 3 pack,Cuidado personal,Higiene,False,1080,39.0,28.26,PRV-14,Activo,2024-01-15,,
SKU-1112,Pasta dental 100 ml,Cuidado personal,Higiene bucal,False,720,34.0,24.23,PRV-14,Activo,2024-01-15,,
SKU-1113,Cepillo dental 2 piezas,Cuidado personal,Higiene bucal,False,1080,42.0,31.58,PRV-14,Activo,2024-01-15,,
SKU-1114,Desodorante en barra 50 g,Cuidado personal,Higiene,False,720,56.0,39.61,PRV-15,Activo,2024-01-15,,
SKU-1115,Rastrillos desechables 4 piezas,Cuidado personal,Afeitado,False,1080,48.0,33.75,PRV-14,Activo,2024-01-15,,
SKU-1116,Crema corporal 400 ml,Cuidado personal,Piel,False,720,84.0,57.83,PRV-14,Activo,2024-01-15,,
SKU-1117,Toallas femeninas 10 piezas,Cuidado personal,Cuidado femenino,False,1080,36.0,27.25,PRV-14,Activo,2024-01-15,,
SKU-1118,Pañales etapa 4 40 piezas,Cuidado personal,Bebé,False,1080,259.0,187.65,PRV-14,Activo,2024-01-15,,
SKU-1119,Papel facial 90 piezas,Cuidado personal,Papel,False,1080,32.0,23.77,PRV-14,Activo,2024-01-15,,
SKU-1120,Bloqueador solar 120 ml,Cuidado personal,Piel,False,720,145.0,101.38,PRV-15,Activo,2024-01-15,,
SKU-1121,Leche entera pasteurizada 1 L (nueva presentación),Lácteos,Leche,True,12,28.5,20.85,PRV-02,Activo,2026-07-15,,
